Title,ReleaseDate,ProductionCompany
Detouring America,1939-08-26,The Vitaphone Corporation
Peace on Earth,1939-12-09,Harman-Ising Productions
Peace on Earth,1939-12-09,MGM Cartoons
The Pointer,1939-07-21,Walt Disney Productions
The Pointer,1939-07-21,RKO Radio Pictures
First Love,1939-11-10,Universal Pictures
The Great Victor Herbert,1939-12-29,Paramount Pictures
The Hunchback of Notre Dame,1939-12-29,RKO Radio Pictures
Intermezzo,1939-09-22,Selznick International Pictures
Intermezzo,1939-09-22,United Artists
The Private Lives of Elizabeth and Essex,1939-11-11,Warner Bros. Pictures
She Married a Cop,1939-07-12,Republic Pictures
They Shall Have Music,1939-07-26,Samuel Goldwyn Productions
They Shall Have Music,1939-07-26,United Artists
Way Down South,1939-07-21,RKO Radio Pictures
Eternally Yours,1939-10-07,United Artists
Golden Boy,1939-09-05,Columbia Pictures
Gulliver's Travels,1939-12-22,Fleischer Studios
Gulliver's Travels,1939-12-22,Paramount Pictures
The Man in the Iron Mask,1939-07-13,United Artists
Man of Conquest,1939-05-15,Republic Pictures
Nurse Edith Cavell,1939-09-22,RKO Radio Pictures
The Rains Came,1939-09-07,20th Century Fox
When Tomorrow Comes,1939-08-11,Universal Pictures
Balalaika,1939-12-29,Metro-Goldwyn-Mayer
Captain Fury,1939-05-26,Hal Roach Studios
Captain Fury,1939-05-26,United Artists
Only Angels Have Wings,1939-05-15,Columbia Pictures
Topper Takes a Trip,1938-12-29,United Artists
Union Pacific,1939-05-05,Paramount Pictures
Rebecca,1940-03-21,Selznick International Pictures
Rebecca,1940-03-21,United Artists
"All This, and Heaven Too",1940-07-04,A Warner Bros. ? First National Picture
"All This, and Heaven Too",1940-07-04,An Anatole Litvak Production
"All This, and Heaven Too",1940-07-04,Warner Bros. Pictures Inc.
Foreign Correspondent,1940-08-16,Walter Wanger Productions
Foreign Correspondent,1940-08-16,United Artists
The Grapes of Wrath,1940-01-24,20th Century-Fox
The Great Dictator,1940-10-15,Charles Chaplin Film Corporation
The Great Dictator,1940-10-15,United Artists
Kitty Foyle,1940-12-27,RKO Radio Pictures
The Letter,1940-11-22,Warner Bros.
The Long Voyage Home,1940-10-08,Argosy Corporation
The Long Voyage Home,1940-10-08,United Artists
Our Town,1940-05-24,United Artists
The Philadelphia Story,1940-12-26,Metro-Goldwyn-Mayer
The Philadelphia Story,1940-12-26,"Loew's, Inc."
Abe Lincoln in Illinois,1940-04-19,RKO Radio Pictures
The Westerner,1940-09-20,Samuel Goldwyn Productions
The Westerner,1940-09-20,United Artists
They Knew What They Wanted,1940-10-08,RKO Radio Pictures
Primrose Path,1940-03-22,RKO Radio Pictures
The Great McGinty,1940-08-15,Paramount Pictures
Angels Over Broadway,1940-10-02,Columbia Pictures
Dr. Ehrlich's Magic Bullet,1940-02-23,Warner Bros. Pictures
"Arise, My Love",1940-11-08,Paramount Pictures
Comrade X,1940-12-13,Metro-Goldwyn-Mayer
Comrade X,1940-12-13,Loew's Inc.
"Edison, the Man",1940-05-10,Metro-Goldwyn-Mayer
"Edison, the Man",1940-05-10,Loew's Inc.
My Favorite Wife,1940-05-17,RKO Radio Pictures
Quicker'n a Wink,1940-10-12,MGM
London Can Take It!,1940-11-01,GPO Film Unit
London Can Take It!,1940-11-01,Warner Bros.
Siege,1940-01-01,RKO Radio Pictures
"Teddy, the Rough Rider",1940-02-24,Warner Bros.
Eyes of the Navy,1940-10-26,Metro-Goldwyn-Mayer
The Milky Way,1940-06-22,MGM cartoon studio
The Milky Way,1940-06-22,Rudolf Ising Productions
The Milky Way,1940-06-22,Metro-Goldwyn-Mayer
Puss Gets the Boot,1940-02-10,MGM Cartoons
Puss Gets the Boot,1940-02-10,Rudolf Ising Productions
Puss Gets the Boot,1940-02-10,Metro-Goldwyn-Mayer
A Wild Hare,1940-07-27,Leon Schlesinger Productions
A Wild Hare,1940-07-27,Warner Bros. Pictures
A Wild Hare,1940-07-27,The Vitaphone Corporation
Pinocchio,1940-02-07,Walt Disney Productions
Pinocchio,1940-02-07,RKO Radio Pictures
Arizona,1940-12-25,Columbia Pictures
Dark Command,1940-04-15,Republic Pictures
The Fight for Life,1940-03-07,United States Film Service
The Fight for Life,1940-03-07,Columbia Pictures
The House of the Seven Gables,1940-02-29,Universal Pictures Co.
The Howards of Virginia,1940-09-19,Columbia Pictures
The Mark of Zorro,1940-11-08,20th Century-Fox
Northwest Mounted Police,1940-10-21,Paramount Pictures
One Million B.C.,1940-04-05,Hal Roach Studios
One Million B.C.,1940-04-05,United Artists
The Thief of Bagdad,1940-12-05,London Films
The Thief of Bagdad,1940-12-05,United Artists
Waterloo Bridge,1940-05-17,Metro-Goldwyn-Mayer
Waterloo Bridge,1940-05-17,Loew's Inc.
Tin Pan Alley,1940-11-29,20th Century Fox
Hit Parade of 1941,1940-10-15,Republic Pictures
Irene,1940-05-03,RKO Radio Pictures
The Sea Hawk,1940-07-01,Warner Bros.
Second Chorus,1940-12-03,Paramount Pictures
Spring Parade,1940-09-27,Universal Studios
Strike Up the Band,1940-09-27,Metro-Goldwyn-Mayer
Strike Up the Band,1940-09-27,"Loew's, Inc."
Down Argentine Way,1940-10-11,20th Century Fox
You'll Find Out,1940-11-22,RKO Radio Pictures
Music in My Heart,1940-01-10,Columbia Pictures
Rhythm on the River,1940-09-06,Paramount Pictures
Behind the News,1940-12-20,Republic Pictures
Captain Caution,1940-08-09,United Artists
Too Many Husbands,1940-03-21,Columbia Pictures
Pride and Prejudice,1940-07-26,Metro-Goldwyn-Mayer
Pride and Prejudice,1940-07-26,Loew's Inc.
The Boys from Syracuse,1940-07-18,Universal Pictures
Lillian Russell,1940-05-24,20th Century Fox
"My Son, My Son!",1940-03-22,United Artists
Bitter Sweet,1940-11-08,Metro-Goldwyn-Mayer
Bitter Sweet,1940-11-08,Loew's Inc.
Boom Town,1940-08-30,Metro-Goldwyn-Mayer
Boom Town,1940-08-30,Loew's Inc.
The Blue Bird,1940-01-15,Twentieth Century-Fox Film Corporation
The Blue Bird,1940-01-15,Twentieth Century-Fox
Northwest Passage,1940-02-23,Metro-Goldwyn-Mayer
Northwest Passage,1940-02-23,Loew's Inc.
Dr. Cyclops,1940-04-12,Paramount Pictures
The Invisible Man Returns,1940-01-12,Universal Pictures
Swiss Family Robinson,1940-02-08,RKO Radio Pictures
Typhoon,1940-04-25,Paramount Pictures
Women in War,1940-06-06,Republic Pictures
How Green Was My Valley,1941-10-28,20th Century-Fox
Blossoms in the Dust,1941-06-26,Metro-Goldwyn-Mayer
Blossoms in the Dust,1941-06-26,Loew's Inc.
Citizen Kane,1941-05-01,RKO Radio Pictures
Citizen Kane,1941-05-01,Mercury Productions
Here Comes Mr. Jordan,1941-08-07,Columbia Pictures
Hold Back the Dawn,1941-09-26,Paramount Pictures
The Little Foxes,1941-08-29,Samuel Goldwyn Productions
The Little Foxes,1941-08-29,RKO Radio Pictures
The Maltese Falcon,1941-10-03,Warner Bros.
One Foot in Heaven,1941-10-02,Warner Bros.
Sergeant York,1941-07-02,Warner Bros.
Suspicion,1941-11-14,RKO Radio Pictures
Penny Serenade,1941-04-24,Columbia Pictures
The Devil and Daniel Webster,1941-10-17,RKO Radio Pictures
Ball of Fire,1941-12-02,Samuel Goldwyn Productions
Ball of Fire,1941-12-02,RKO Radio Pictures
The Devil and Miss Jones,1941-04-04,RKO Radio Pictures
The Great Lie,1941-04-12,Warner Bros.
"Tall, Dark and Handsome",1941-01-24,20th Century Fox
"Tom, Dick and Harry",1941-06-13,RKO Radio Pictures
The Lady Eve,1941-02-25,Paramount Pictures
Meet John Doe,1941-05-03,Frank Capra Productions
Meet John Doe,1941-05-03,Warner Bros.
Churchill's Island,1941-01-01,National Film Board of Canada
Churchill's Island,1941-01-01,Montreal
Churchill's Island,1941-01-01,Columbia Pictures
Adventure in the Bronx,1941-01-01,New York Zoological Society
Adventure in the Bronx,1941-01-01,Warner Bros.
Christmas Under Fire,1941-01-01,Crown Film Unit
A Letter from Home,1941-01-01,Twentieth Century-Fox
A Letter from Home,1941-01-01,Gaumont-British
Life of a Thoroughbred,1941-01-01,Twentieth Century-Fox Film Corporation
Norway in Revolt,1941-09-01,Time Inc.
Norway in Revolt,1941-09-01,RKO Radio Pictures
A Place to Live,1941-01-01,Brandon Films
Russian Soil,1941-01-01,Amkino Corporation
Soldiers of the Sky,1941-01-01,Twentieth Century-Fox Film Corporation
Warclouds in the Pacific,1941-12-01,National Film Board of Canada
Warclouds in the Pacific,1941-12-01,Columbia Pictures
Of Pups and Puzzles,1941-09-06,MGM
Army Champions,1941-10-11,Metro-Goldwyn-Mayer
Beauty and the Beach,1941-09-26,Paramount Pictures
Down on the Farm,1941-08-18,Paramount Pictures
Sagebrush and Silver,1941-08-15,Twentieth-Century Fox
Main Street on the March!,1941-01-01,MGM
The Tanks Are Coming,1941-01-01,Warner Bros.
Lend a Paw,1941-10-03,Walt Disney Productions
Lend a Paw,1941-10-03,RKO Radio Pictures
Hiawatha's Rabbit Hunt,1941-06-07,Leon Schlesinger Productions
Hiawatha's Rabbit Hunt,1941-06-07,Warner Bros. Pictures
The Night Before Christmas,1941-12-06,MGM Cartoons
The Night Before Christmas,1941-12-06,Metro-Goldwyn-Mayer
Rhapsody in Rivets,1941-12-06,Leon Schlesinger Productions
Rhapsody in Rivets,1941-12-06,Warner Bros. Pictures
Rhapsody in Rivets,1941-12-06,The Vitaphone Corporation
The Rookie Bear,1941-05-17,MGM Cartoons
The Rookie Bear,1941-05-17,Metro-Goldwyn-Mayer
Superman,1941-09-26,Fleischer Studios
Superman,1941-09-26,Paramount Pictures
Truant Officer Donald,1941-08-01,Walt Disney Productions
Truant Officer Donald,1941-08-01,RKO Radio Pictures
Back Street,1941-02-07,Universal Pictures
Cheers for Miss Bishop,1941-02-21,United Artists
Dr. Jekyll and Mr. Hyde,1941-08-12,Metro-Goldwyn-Mayer
Dr. Jekyll and Mr. Hyde,1941-08-12,"Loew's, Inc."
King of the Zombies,1941-05-14,Monogram Pictures Corporation
Ladies in Retirement,1941-09-18,Columbia Pictures
Lydia,1941-09-18,London Films
Lydia,1941-09-18,United Artists
Mercy Island,1941-10-10,Republic Pictures
So Ends Our Night,1941-02-27,United Artists
Sundown,1941-10-16,Walter Wanger Productions
Sundown,1941-10-16,United Artists
Tanks a Million,1941-09-12,Hal Roach Studios
Tanks a Million,1941-09-12,United Artists
That Uncertain Feeling,1941-04-20,United Artists
This Woman is Mine,1941-08-22,Universal Pictures
Dumbo,1941-10-23,Walt Disney Productions
Dumbo,1941-10-23,RKO Radio Pictures
All-American Co-ed,1941-10-31,"Hal Roach Studios, Inc."
All-American Co-ed,1941-10-31,United Artists
Birth of the Blues,1941-11-07,Paramount Pictures
Buck Privates,1941-01-31,Universal Pictures
The Chocolate Soldier,1941-10-31,Metro-Goldwyn-Mayer
The Chocolate Soldier,1941-10-31,Loew's Inc.
Ice-Capades,1941-08-20,Republic Pictures
The Strawberry Blonde,1941-02-21,Warner Bros.
Sun Valley Serenade,1941-08-21,Twentieth Century Fox
Sunny,1941-05-30,RKO Radio Pictures
You'll Never Get Rich,1941-09-25,Columbia Pictures
Lady Be Good,1941-09-01,Metro-Goldwyn-Mayer
Lady Be Good,1941-09-01,Loew's Inc.
Ridin' on a Rainbow,1941-01-24,Republic Pictures
Blues in the Night,1941-11-15,Warner Bros.
Las Vegas Nights,1941-03-28,Paramount Pictures
That Hamilton Woman(Lady Hamilton),1941-04-30,London Films
That Hamilton Woman(Lady Hamilton),1941-04-30,United Artists
Appointment for Love,1941-10-31,Universal Pictures
The Devil Pays Off,1941-11-10,Republic Pictures
The Men in Her Life,1941-10-30,Columbia Pictures
Skylark,1941-11-21,Paramount Pictures
Topper Returns,1941-03-21,Hal Roach Studios
Topper Returns,1941-03-21,United Artists
The Flame of New Orleans,1941-04-06,Universal Pictures
The Son of Monte Cristo,1940-12-04,United Artists
When Ladies Meet,1941-08-29,Metro-Goldwyn-Mayer
When Ladies Meet,1941-08-29,Loew's Inc.
Sis Hopkins,1941-04-12,Republic Pictures
Blood and Sand,1941-05-22,20th Century Fox
Louisiana Purchase,1941-12-25,Paramount Pictures
Aloma of the South Seas,1941-08-27,Paramount Pictures
Billy the Kid,1941-05-30,Metro-Goldwyn-Mayer
Billy the Kid,1941-05-30,"Loew's, Inc."
Dive Bomber,1941-08-30,Warner Bros.
I Wanted Wings,1941-03-26,Paramount Pictures
Flight Command,1940-12-27,Metro-Goldwyn-Mayer
Flight Command,1940-12-27,Loew's Inc.
The Invisible Woman,1940-12-27,"Universal Pictures Company, Inc."
The Invisible Woman,1940-12-27,A Universal Picture
The Sea Wolf,1941-03-21,Warner Bros.
A Yank in the R.A.F.,1941-09-25,Twentieth Century Fox
Mrs. Miniver,1942-06-04,Metro-Goldwyn-Mayer
Mrs. Miniver,1942-06-04,Loew's Inc.
49th Parallel,1941-10-08,General Film Distributors Ltd.
Kings Row,1942-02-02,Warner Bros.
The Magnificent Ambersons,1942-07-10,RKO Radio Pictures
The Magnificent Ambersons,1942-07-10,Mercury Productions
The Pied Piper,1942-08-21,20th Century Fox
The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,Samuel Goldwyn Productions
The Pride of the Yankees: The Life of Lou Gehrig,1942-07-14,RKO Radio Pictures
Random Harvest,1942-12-17,Metro-Goldwyn-Mayer
Random Harvest,1942-12-17,Loew's Inc.
The Talk of the Town,1942-08-20,Columbia Pictures
Wake Island,1942-09-01,Paramount Pictures
Yankee Doodle Dandy (film),1942-05-29,Warner Bros.
"Now, Voyager",1942-10-22,Warner Bros.
Woman of the Year,1942-02-19,Metro-Goldwyn-Mayer
Woman of the Year,1942-02-19,Loew's Inc.
My Sister Eileen,1942-09-24,Columbia Pictures
Johnny Eager,1941-12-09,Metro-Goldwyn-Mayer
Johnny Eager,1941-12-09,Loew's Inc.
Tortilla Flat,1942-05-21,Metro-Goldwyn-Mayer
Tortilla Flat,1942-05-21,Loew's Inc.
One of Our Aircraft Is Missing,1942-06-27,Anglo-Amalgamated Film Distributors
Road to Morocco,1942-11-10,Paramount Pictures
The War Against Mrs. Hadley,1942-09-27,Metro-Goldwyn-Mayer
Holiday Inn,1942-08-04,Paramount Pictures
The Battle of Midway,1942-09-14,United States Navy
The Battle of Midway,1942-09-14,20th Century Fox
Kokoda Front Line!,1942-09-18,Cinesound Productions
Prelude to War,1942-05-27,Twentieth Century-Fox
Prelude to War,1942-05-27,War Activities Committee of the Motion Pictures Industry
"Africa, Prelude to Victory",1942-12-04,The March of Time
"Africa, Prelude to Victory",1942-12-04,Twentieth Century Fox
Conquer by the Clock,1942-10-27,RKO Path?
The Grain That Built a Hemisphere,1943-01-04,Walt Disney Productions
The Grain That Built a Hemisphere,1943-01-04,RKO Radio Pictures
"Henry Browne, Farmer",1942-11-15,Republic Pictures
"Henry Browne, Farmer",1942-11-15,United States Department of Agriculture
"Henry Browne, Farmer",1942-11-15,War Activities Committee of the Motion Pictures Industry
Inside Fighting China,1941-01-01,National Film Board of Canada
Inside Fighting China,1941-01-01,United Artists
It's Everybody's War,1942-11-06,20th Century Fox
It's Everybody's War,1942-11-06,Office of War Information
Listen to Britain,1942-01-01,Crown Film Unit
Listen to Britain,1942-01-01,Ministry of Information
The New Spirit,1942-01-23,U.S. Department of the Treasury
The New Spirit,1942-01-23,Walt Disney Productions
The New Spirit,1942-01-23,War Activities Committee of the Motion Pictures Industry
The Price of Victory,1942-12-03,U.S. Office of War Information
A Ship Is Born,1942-10-10,U.S. Merchant Marine
A Ship Is Born,1942-10-10,Warner Bros.
Speaking of Animals and Their Families,1942-06-04,Paramount Pictures
Desert Wonderland,1942-01-01,Twentieth Century-Fox
United States Marine Band,1942-11-14,Warner Bros.
Beyond the Line of Duty,1942-11-07,Warner Bros.
Don't Talk,1942-02-28,Metro-Goldwyn-Mayer
Private Smith of the U.S.A.,1942-10-02,RKO Radio Pictures
Der Fuehrer's Face,1943-01-01,Walt Disney Productions
Der Fuehrer's Face,1943-01-01,RKO Radio Pictures
Blitz Wolf,1942-08-22,MGM Cartoons
Blitz Wolf,1942-08-22,Metro-Goldwyn-Mayer
Pigs in a Polka,1943-02-06,Leon Schlesinger Studios
Pigs in a Polka,1943-02-06,Warner Bros.
Tulips Shall Grow,1942-01-26,Paramount Pictures
Arabian Nights,1942-12-25,Walter Wanger presents
Arabian Nights,1942-12-25,"Universal Pictures Company, Inc."
Bambi,1942-08-09,Walt Disney Productions
Bambi,1942-08-09,RKO Radio Pictures
The Black Swan,1942-12-04,Twentieth Century-Fox Film Corporation
The Corsican Brothers,1941-11-28,Edward Small Productions
The Corsican Brothers,1941-11-28,United Artists
Flying Tigers,1942-10-08,Republic Pictures
The Gold Rush,1925-06-26,United Artists
I Married a Witch,1942-10-30,Paramount Pictures
I Married a Witch,1942-10-30,United Artists
Joan of Paris,1942-02-20,RKO Radio Pictures
Jungle Book,1942-04-03,United Artists
Klondike Fury,1942-01-01,King Brothers Productions
Klondike Fury,1942-01-01,Monogram Pictures
The Shanghai Gesture,1941-12-25,United Artists
Silver Queen,1942-11-13,United Artists
"Take a Letter, Darling",1942-05-06,Paramount Pictures
To Be or Not to Be,1942-02-19,United Artists
Flying with Music,1942-05-22,Hal Roach Studios
Flying with Music,1942-05-22,United Artists
For Me and My Gal,1942-10-21,Metro-Goldwyn-Mayer
For Me and My Gal,1942-10-21,Loew's Inc.
It Started with Eve,1941-09-26,Universal Pictures
Johnny Doughboy,1942-12-31,Republic Pictures
My Gal Sal,1942-04-30,20th Century Fox
You Were Never Lovelier,1942-11-19,Columbia Pictures
Always in My Heart,1942-03-14,Warner Bros.
Babes on Broadway,1941-12-31,Metro-Goldwyn-Mayer
Babes on Broadway,1941-12-31,Loew's Inc.
Orchestra Wives,1942-09-04,Twentieth Century Fox
Youth on Parade,1942-10-24,Republic Pictures
Hellzapoppin',1941-12-25,Universal Pictures
The Mayor of 44th Street,1942-05-15,RKO Pictures
Friendly Enemies,1942-06-21,United Artists
Once Upon a Honeymoon,1942-11-27,RKO Radio Pictures
This Above All,1942-05-12,20th Century Fox
George Washington Slept Here,1942-11-28,Warner Bros.
The Spoilers,1942-06-11,Universal Pictures
Captains of the Clouds,1942-02-12,Warner Bros.
Reap the Wild Wind,1942-03-18,Paramount Pictures
Moontide,1942-04-29,20th Century Fox
Ten Gentlemen from West Point,1942-06-26,20th Century Fox
To the Shores of Tripoli,1942-03-24,20th Century-Fox
Desperate Journey,1942-09-25,Warner Bros.
Invisible Agent,1942-07-31,"Universal Pictures Company, Inc."
The Navy Comes Through,1942-10-27,RKO Radio Pictures
Casablanca,1942-11-26,"Warner Bros. Pictures, Inc."
For Whom the Bell Tolls,1943-07-14,Paramount Pictures
Heaven Can Wait,1943-08-11,20th Century-Fox
The Human Comedy,1943-03-02,Metro-Goldwyn-Mayer
The Human Comedy,1943-03-02,"Loew's, Inc"
In Which We Serve,1942-09-17,British Lion Films
Madame Curie,1943-12-15,Metro-Goldwyn-Mayer
Madame Curie,1943-12-15,Loew's Inc.
The More the Merrier,1943-05-13,Columbia Pictures
The Ox-Bow Incident,1943-05-08,20th Century Fox
The Song of Bernadette,1943-12-25,20th Century Fox
Watch on the Rhine,1943-08-27,Warner Bros.
The Constant Nymph,1943-06-23,Warner Bros. Pictures
Sahara,1943-11-11,Columbia Pictures
So Proudly We Hail!,1943-09-09,Paramount Pictures
Princess O'Rourke,1943-10-23,Warner Bros. Pictures
Air Force,1943-02-03,Warner Bros.
The North Star,1943-11-04,Samuel Goldwyn Productions
The North Star,1943-11-04,RKO Radio Pictures
Holy Matrimony,1943-08-27,20th Century Fox
Action in the North Atlantic,1943-06-12,Warner Bros. Pictures
Destination Tokyo,1943-12-15,Warner Bros.
Shadow of a Doubt,1943-01-12,Universal Pictures
Desert Victory,1943-03-01,Army Film and Photographic Unit
Desert Victory,1943-03-01,Royal Air Force Film Production Unit
Desert Victory,1943-03-01,20th Century Fox
Baptism of Fire,1943-01-01,Signal Corps
Baptism of Fire,1943-01-01,Warner Bros.
The Battle of Russia,1943-11-13,United States Office of War Information
The Battle of Russia,1943-11-13,War Activities Committee of the Motion Pictures Industry
The Battle of Russia,1943-11-13,20th Century Fox
Report from the Aleutians,1943-07-30,Army Pictorial Service
Report from the Aleutians,1943-07-30,War Activities Committee of the Motion Pictures Industry
War Department Report,1943-12-07,Office of Strategic Services
December 7th,1943-01-01,Office of War Information
Children of Mars,1943-01-01,RKO Radio Pictures
Plan for Destruction,1943-04-22,MGM
Swedes in America,1943-11-08,United States Office of War Information
Swedes in America,1943-11-08,United States Office of Education
To the People of the United States,1944-04-16,War Activities Committee of the Motion Pictures Industry
Tomorrow We Fly,1943-01-01,Bureau of Aeronautics
Tomorrow We Fly,1943-01-01,United States Navy
Youth in Crisis,1943-11-05,Time Inc.
Youth in Crisis,1943-11-05,20th Century Fox
Amphibious Fighters,1943-01-01,Paramount Pictures
Cavalcade of Dance,1943-10-03,Warner Bros. Pictures
Champions Carry On,1943-01-01,Twentieth Century Fox
Hollywood in Uniform,1943-08-15,Columbia Pictures
Seeing Hands,1943-07-03,Metro-Goldwyn-Mayer
Heavenly Music,1943-05-01,MGM
Letter to a Hero,1943-01-01,RKO Pictures
